dataset,target_language,repo,repo_url,pr_url,base_commit,head_commit,files_changed,lines_added,lines_removed,total_lines_changed,num_comments,repo_size_kb,repo_total_files,repo_python_files,repo_total_directories,repo_max_directory_depth
swe_prbench,python,espnet/espnet,https://github.com/espnet/espnet,https://github.com/espnet/espnet/pull/6327,df9514742b18d7f599be6fdc0db83cba627abf44,f4e7259de086955672bc00242e84e70c329c72f4,52,225.0,238.0,463.0,7,1461583,10442,2072,1875,8
swe_prbench,python,sqlfluff/sqlfluff,https://github.com/sqlfluff/sqlfluff,https://github.com/sqlfluff/sqlfluff/pull/7294,316d153ef74d5615d7e2e65aa655b2d3fbf7fd92,f483a2a1c6fc41b93be0141315eae0f74ad072f0,6,445.0,17.0,462.0,5,50120,5556,426,326,9
swe_prbench,python,cupy/cupy,https://github.com/cupy/cupy,https://github.com/cupy/cupy/pull/9507,6dc153dc0c03fd343d572fcc70a725c58edb10ab,6459a4957a65e87fa1e218e1604f8ec68abc536c,3,98.0,16.0,114.0,3,47317,1187,740,165,6
swe_prbench,python,livekit/agents,https://github.com/livekit/agents,https://github.com/livekit/agents/pull/4099,5cfaf56b3361268dd2edd770567cf153a62a46bb,800a9054fd91bd1169041e780a9537e68ab8eba8,4,598.0,14.0,612.0,6,26307,1045,741,349,7
swe_prbench,python,pyodide/pyodide,https://github.com/pyodide/pyodide,https://github.com/pyodide/pyodide/pull/6033,6b75989dde4af6d6773cb190f1258bfd25457d55,4d11f44e2d4ec8fb249ca1553af0b0b89a343165,10,83.0,78.0,161.0,3,30501,541,166,122,5
swe_prbench,python,vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas,https://github.com/vibrantlabsai/ragas/pull/2474,63d5f5438925d9b70f2bd98bfb5cdf35cfc342d6,52678efd757008b028efd751b84bbdc9d3bc6763,8,269.0,5.0,274.0,12,47555,694,387,119,5
swe_prbench,python,optuna/optuna,https://github.com/optuna/optuna,https://github.com/optuna/optuna/pull/6428,52f6ef6ffe5a2a4c6386f8d83cd39335d7f3a2ae,3f2829a88ac04ec969fc7147e7adfdf5f168b9b6,2,42.0,20.0,62.0,1,23125,469,380,75,5
swe_prbench,python,prowler-cloud/prowler,https://github.com/prowler-cloud/prowler,https://github.com/prowler-cloud/prowler/pull/9816,a0166aede761ee3d97703ed98c0390f1f97586da,f78b72a41283793fa0ab84df2bca0edee2e6fffa,7,477.0,264.0,741.0,2,226523,9618,5698,3746,8
swe_prbench,python,cupy/cupy,https://github.com/cupy/cupy,https://github.com/cupy/cupy/pull/9660,513b954dcac7cdb70a725e8eed1af58642a79972,e7a794b5f93bfd61b2c80c42f5ea21f206625220,3,25.0,13.0,38.0,4,47317,1187,740,165,6
swe_prbench,python,pypa/pip,https://github.com/pypa/pip,https://github.com/pypa/pip/pull/13625,54de6f95754d25b4024f95b276740c88c424d23a,663a4b0de715af61c5190e50e6ac5aebf3725afa,17,668.0,19.0,687.0,19,74044,1024,637,181,6
swe_prbench,python,Chia-Network/chia-blockchain,https://github.com/Chia-Network/chia-blockchain,https://github.com/Chia-Network/chia-blockchain/pull/20282,8eba5d84904229b5990f6cae6f33c7a4c56434e3,299dd2dc791b2a0102501880c01965fc398e1643,2,115.0,21.0,136.0,15,160312,1194,936,110,6
swe_prbench,python,cupy/cupy,https://github.com/cupy/cupy,https://github.com/cupy/cupy/pull/9549,dc89de4828981881af4f66ae9ada6501b8ada147,a3e16fd5ac40abe76f3daef88ac0ef2390f122e0,9,69.0,8.0,77.0,8,47317,1187,740,165,6
swe_prbench,python,simonw/datasette,https://github.com/simonw/datasette,https://github.com/simonw/datasette/pull/2539,bda69ff1c96b3dbec705434cb950a1e470838a01,e46ca9eb7df60e1509dd3e2040627c373e60d1b8,6,458.0,71.0,529.0,2,8287,275,124,25,4
swe_prbench,python,pipecat-ai/pipecat,https://github.com/pipecat-ai/pipecat,https://github.com/pipecat-ai/pipecat/pull/3084,9efb21d61ee13690d86d3aa5e042ca8a1232c47c,1330ef3ad60fe10108b8b345869a50fd7b1e8ee2,74,268.0,373.0,641.0,15,143589,994,812,173,6
swe_prbench,python,pipecat-ai/pipecat,https://github.com/pipecat-ai/pipecat,https://github.com/pipecat-ai/pipecat/pull/3020,c2ce143e6c162da627c270c43fbcf5146b6f00d5,913194844e430a3056bd1272e87f450d42706499,10,113.0,44.0,157.0,5,143589,994,812,173,6
swe_prbench,python,numba/numba,https://github.com/numba/numba,https://github.com/numba/numba/pull/10226,4c37ce138ef7ecbf04474cc706885a6d4312b279,c720a4db6632da98ccb0608e9f32581badfd0f75,8,57.0,11.0,68.0,6,80929,1027,752,78,5
swe_prbench,python,Chia-Network/chia-blockchain,https://github.com/Chia-Network/chia-blockchain,https://github.com/Chia-Network/chia-blockchain/pull/20166,09aa4bbd276afd79ef1da5e7125b1a6f4816e470,bae4615a578181e2ba98225807f6e235b25dcbf9,6,150.0,43.0,193.0,13,160312,1194,936,110,6
swe_prbench,python,pipecat-ai/pipecat,https://github.com/pipecat-ai/pipecat,https://github.com/pipecat-ai/pipecat/pull/3224,5f6448a8a4d01cf30b2be62417eb4e3adf9ceb15,54926f390daf72bce1d0ce2729d8a5a4e3029531,15,283.0,246.0,529.0,6,143589,994,812,173,6
swe_prbench,python,kedro-org/kedro,https://github.com/kedro-org/kedro,https://github.com/kedro-org/kedro/pull/5290,1a9349f3ac7e1e9168a2ddf58abb132c897a5c45,1abc46898517b44cd33cc4b7c70a579717a7ba52,5,160.0,13.0,173.0,3,246653,663,196,129,7
swe_prbench,python,pypa/pip,https://github.com/pypa/pip,https://github.com/pypa/pip/pull/9058,c782c6ba3eb7a807f02dba3508c1ae77f6f41883,43c7566756238e08f8d1d668af109fb2ce3fdfcf,5,381.0,3.0,384.0,16,74044,1024,637,181,6
swe_prbench,python,cupy/cupy,https://github.com/cupy/cupy,https://github.com/cupy/cupy/pull/9567,436db3b23fda3601b641fa86096dcfc4b7645e94,af3b0045f21a6ee7e04c0395d44ac2acc39b6bf6,5,344.0,45.0,389.0,12,47317,1187,740,165,6
swe_prbench,python,espnet/espnet,https://github.com/espnet/espnet,https://github.com/espnet/espnet/pull/6272,13be209683c37a9895d75be32a981da1844d5780,e6f26405bc691d4e64f604fce22b8521c5b47592,15,158.0,78.0,236.0,3,1461583,10442,2072,1875,8
swe_prbench,python,spyder-ide/spyder,https://github.com/spyder-ide/spyder,https://github.com/spyder-ide/spyder/pull/25194,d882d85fae1383eee973b9568aa9aa742e081b92,69c5185ffbba32eafe0b2f9c9794cfc6c76038bd,2,16.0,5.0,21.0,3,155668,2438,1006,1057,13
swe_prbench,python,livekit/agents,https://github.com/livekit/agents,https://github.com/livekit/agents/pull/3392,7757b0ef271706d9ff69c7780b06738b8e5558f0,e7ae8568e1d9296114eb38bb55a5cd98a37deac9,12,775.0,3.0,778.0,13,26307,1045,741,349,7
swe_prbench,python,kedro-org/kedro,https://github.com/kedro-org/kedro,https://github.com/kedro-org/kedro/pull/5181,3d14d221fcfd6084b0fe4b1661ce025929a59a40,efd3379aac9cbb8573b61738966a944f6cdaeb07,2,503.0,0.0,503.0,28,246653,663,196,129,7
