pr_url,slug,started_at,finished_at,status,raw_path,findings_path,finding_count,elapsed_ms,error
https://github.com/comfyanonymous/ComfyUI/pull/7952,comfyanonymous__ComfyUI__pr7952,2026-05-05T06:57:10.354606+00:00,2026-05-05T06:59:13.709047+00:00,ok,raw\comfyanonymous__ComfyUI__pr7952.json,findings\comfyanonymous__ComfyUI__pr7952.json,39,122196,
https://github.com/comfyanonymous/ComfyUI/pull/8446,comfyanonymous__ComfyUI__pr8446,2026-05-05T06:59:13.710551+00:00,2026-05-05T07:00:03.893894+00:00,ok,raw\comfyanonymous__ComfyUI__pr8446.json,findings\comfyanonymous__ComfyUI__pr8446.json,3,48946,
https://github.com/comfyanonymous/ComfyUI/pull/6033,comfyanonymous__ComfyUI__pr6033,2026-05-05T07:00:03.895893+00:00,2026-05-05T07:00:50.950334+00:00,ok,raw\comfyanonymous__ComfyUI__pr6033.json,findings\comfyanonymous__ComfyUI__pr6033.json,4,45876,
https://github.com/comfyanonymous/ComfyUI/pull/9560,comfyanonymous__ComfyUI__pr9560,2026-05-05T07:00:50.952340+00:00,2026-05-05T07:01:42.052278+00:00,ok,raw\comfyanonymous__ComfyUI__pr9560.json,findings\comfyanonymous__ComfyUI__pr9560.json,6,49817,
https://github.com/comfyanonymous/ComfyUI/pull/6542,comfyanonymous__ComfyUI__pr6542,2026-05-05T07:01:42.054797+00:00,2026-05-05T07:02:22.412271+00:00,ok,raw\comfyanonymous__ComfyUI__pr6542.json,findings\comfyanonymous__ComfyUI__pr6542.json,4,39026,
https://github.com/browser-use/browser-use/pull/1482,browser-use__browser-use__pr1482,2026-05-05T07:02:22.414349+00:00,2026-05-05T07:03:17.220787+00:00,ok,raw\browser-use__browser-use__pr1482.json,findings\browser-use__browser-use__pr1482.json,5,53888,
https://github.com/browser-use/browser-use/pull/857,browser-use__browser-use__pr857,2026-05-05T07:03:17.222292+00:00,2026-05-05T07:03:47.481081+00:00,ok,raw\browser-use__browser-use__pr857.json,findings\browser-use__browser-use__pr857.json,6,29199,
https://github.com/browser-use/browser-use/pull/3172,browser-use__browser-use__pr3172,2026-05-05T07:03:47.482084+00:00,2026-05-05T07:04:14.510594+00:00,ok,raw\browser-use__browser-use__pr3172.json,findings\browser-use__browser-use__pr3172.json,7,26413,
https://github.com/infiniflow/ragflow/pull/7151,infiniflow__ragflow__pr7151,2026-05-05T07:04:14.512602+00:00,2026-05-05T07:05:25.882836+00:00,ok,raw\infiniflow__ragflow__pr7151.json,findings\infiniflow__ragflow__pr7151.json,17,70677,
https://github.com/infiniflow/ragflow/pull/6691,infiniflow__ragflow__pr6691,2026-05-05T07:05:25.883837+00:00,2026-05-05T07:06:27.142783+00:00,ok,raw\infiniflow__ragflow__pr6691.json,findings\infiniflow__ragflow__pr6691.json,7,59703,
https://github.com/infiniflow/ragflow/pull/6553,infiniflow__ragflow__pr6553,2026-05-05T07:06:27.143784+00:00,2026-05-05T07:07:30.461095+00:00,ok,raw\infiniflow__ragflow__pr6553.json,findings\infiniflow__ragflow__pr6553.json,9,62406,
https://github.com/infiniflow/ragflow/pull/5065,infiniflow__ragflow__pr5065,2026-05-05T07:07:30.462595+00:00,2026-05-05T07:08:14.605893+00:00,ok,raw\infiniflow__ragflow__pr5065.json,findings\infiniflow__ragflow__pr5065.json,3,43218,
https://github.com/vllm-project/vllm/pull/12608,vllm-project__vllm__pr12608,2026-05-05T07:08:14.607397+00:00,2026-05-05T07:09:29.238499+00:00,ok,raw\vllm-project__vllm__pr12608.json,findings\vllm-project__vllm__pr12608.json,7,73710,
https://github.com/vllm-project/vllm/pull/15998,vllm-project__vllm__pr15998,2026-05-05T07:09:29.240514+00:00,2026-05-05T07:11:03.027533+00:00,ok,raw\vllm-project__vllm__pr15998.json,findings\vllm-project__vllm__pr15998.json,5,92780,
https://github.com/vllm-project/vllm/pull/24425,vllm-project__vllm__pr24425,2026-05-05T07:11:03.028536+00:00,2026-05-05T07:13:08.955070+00:00,ok,raw\vllm-project__vllm__pr24425.json,findings\vllm-project__vllm__pr24425.json,5,124915,
https://github.com/vllm-project/vllm/pull/19756,vllm-project__vllm__pr19756,2026-05-05T07:13:08.956571+00:00,2026-05-05T07:14:14.813249+00:00,ok,raw\vllm-project__vllm__pr19756.json,findings\vllm-project__vllm__pr19756.json,6,64909,
https://github.com/vllm-project/vllm/pull/17425,vllm-project__vllm__pr17425,2026-05-05T07:14:14.815249+00:00,2026-05-05T07:16:24.801619+00:00,ok,raw\vllm-project__vllm__pr17425.json,findings\vllm-project__vllm__pr17425.json,12,128977,
https://github.com/langflow-ai/langflow/pull/6044,langflow-ai__langflow__pr6044,2026-05-05T07:16:24.803120+00:00,2026-05-05T07:19:13.308833+00:00,ok,raw\langflow-ai__langflow__pr6044.json,findings\langflow-ai__langflow__pr6044.json,17,167507,
