pr_url,slug,started_at,finished_at,status,raw_path,findings_path,finding_count,elapsed_ms,error
https://github.com/comfyanonymous/ComfyUI/pull/7952,comfyanonymous__ComfyUI__pr7952,2026-05-05T07:30:30.948746+00:00,2026-05-05T07:37:28.904684+00:00,ok,raw\comfyanonymous__ComfyUI__pr7952.json,findings\comfyanonymous__ComfyUI__pr7952.json,21,416689,
https://github.com/comfyanonymous/ComfyUI/pull/8446,comfyanonymous__ComfyUI__pr8446,2026-05-05T07:37:28.910198+00:00,2026-05-05T07:40:10.170128+00:00,ok,raw\comfyanonymous__ComfyUI__pr8446.json,findings\comfyanonymous__ComfyUI__pr8446.json,8,159941,
https://github.com/comfyanonymous/ComfyUI/pull/6033,comfyanonymous__ComfyUI__pr6033,2026-05-05T07:40:10.174629+00:00,2026-05-05T07:43:23.295241+00:00,ok,raw\comfyanonymous__ComfyUI__pr6033.json,findings\comfyanonymous__ComfyUI__pr6033.json,4,191987,
https://github.com/comfyanonymous/ComfyUI/pull/9560,comfyanonymous__ComfyUI__pr9560,2026-05-05T07:43:23.720879+00:00,2026-05-05T07:44:53.972978+00:00,ok,raw\comfyanonymous__ComfyUI__pr9560.json,findings\comfyanonymous__ComfyUI__pr9560.json,5,89013,
https://github.com/comfyanonymous/ComfyUI/pull/6542,comfyanonymous__ComfyUI__pr6542,2026-05-05T07:44:53.999103+00:00,2026-05-05T07:46:39.050184+00:00,ok,raw\comfyanonymous__ComfyUI__pr6542.json,findings\comfyanonymous__ComfyUI__pr6542.json,2,103736,
https://github.com/browser-use/browser-use/pull/1482,browser-use__browser-use__pr1482,2026-05-05T07:46:39.053684+00:00,2026-05-05T07:48:00.006168+00:00,ok,raw\browser-use__browser-use__pr1482.json,findings\browser-use__browser-use__pr1482.json,3,79994,
https://github.com/browser-use/browser-use/pull/857,browser-use__browser-use__pr857,2026-05-05T07:48:00.011167+00:00,2026-05-05T07:49:41.337384+00:00,ok,raw\browser-use__browser-use__pr857.json,findings\browser-use__browser-use__pr857.json,3,100377,
https://github.com/browser-use/browser-use/pull/3172,browser-use__browser-use__pr3172,2026-05-05T07:49:41.340922+00:00,2026-05-05T07:53:55.769979+00:00,ok,raw\browser-use__browser-use__pr3172.json,findings\browser-use__browser-use__pr3172.json,21,253528,
https://github.com/infiniflow/ragflow/pull/7151,infiniflow__ragflow__pr7151,2026-05-05T07:53:55.780056+00:00,2026-05-05T07:57:14.473813+00:00,ok,raw\infiniflow__ragflow__pr7151.json,findings\infiniflow__ragflow__pr7151.json,19,197736,
https://github.com/infiniflow/ragflow/pull/6691,infiniflow__ragflow__pr6691,2026-05-05T07:57:14.479828+00:00,2026-05-05T07:58:51.973840+00:00,ok,raw\infiniflow__ragflow__pr6691.json,findings\infiniflow__ragflow__pr6691.json,8,96570,
https://github.com/infiniflow/ragflow/pull/6553,infiniflow__ragflow__pr6553,2026-05-05T07:58:51.976342+00:00,2026-05-05T08:00:48.375023+00:00,ok,raw\infiniflow__ragflow__pr6553.json,findings\infiniflow__ragflow__pr6553.json,6,115558,
https://github.com/infiniflow/ragflow/pull/5065,infiniflow__ragflow__pr5065,2026-05-05T08:00:48.378524+00:00,2026-05-05T08:02:08.112877+00:00,ok,raw\infiniflow__ragflow__pr5065.json,findings\infiniflow__ragflow__pr5065.json,2,78853,
https://github.com/vllm-project/vllm/pull/12608,vllm-project__vllm__pr12608,2026-05-05T08:02:08.123905+00:00,2026-05-05T08:02:19.890115+00:00,skipped_enrichment_failed,,,0,0,github_pr_context_unavailable
https://github.com/vllm-project/vllm/pull/15998,vllm-project__vllm__pr15998,2026-05-05T08:02:19.890613+00:00,2026-05-05T08:04:35.897504+00:00,ok,raw\vllm-project__vllm__pr15998.json,findings\vllm-project__vllm__pr15998.json,4,134931,
https://github.com/vllm-project/vllm/pull/24425,vllm-project__vllm__pr24425,2026-05-05T08:04:35.900506+00:00,2026-05-05T08:07:05.675626+00:00,ok,raw\vllm-project__vllm__pr24425.json,findings\vllm-project__vllm__pr24425.json,3,148933,
https://github.com/vllm-project/vllm/pull/19756,vllm-project__vllm__pr19756,2026-05-05T08:07:05.677627+00:00,2026-05-05T08:08:51.859032+00:00,ok,raw\vllm-project__vllm__pr19756.json,findings\vllm-project__vllm__pr19756.json,1,105381,
https://github.com/vllm-project/vllm/pull/17425,vllm-project__vllm__pr17425,2026-05-05T08:08:51.865978+00:00,2026-05-05T08:11:53.836233+00:00,ok,raw\vllm-project__vllm__pr17425.json,findings\vllm-project__vllm__pr17425.json,0,180958,
https://github.com/langflow-ai/langflow/pull/6044,langflow-ai__langflow__pr6044,2026-05-05T08:11:53.838237+00:00,2026-05-05T08:16:52.268737+00:00,ok,raw\langflow-ai__langflow__pr6044.json,findings\langflow-ai__langflow__pr6044.json,20,297476,
https://github.com/langflow-ai/langflow/pull/5388,langflow-ai__langflow__pr5388,2026-05-05T08:16:52.274745+00:00,2026-05-05T08:19:40.850439+00:00,ok,raw\langflow-ai__langflow__pr5388.json,findings\langflow-ai__langflow__pr5388.json,4,167541,
https://github.com/langflow-ai/langflow/pull/5896,langflow-ai__langflow__pr5896,2026-05-05T08:19:40.852760+00:00,2026-05-05T08:22:53.786425+00:00,ok,raw\langflow-ai__langflow__pr5896.json,findings\langflow-ai__langflow__pr5896.json,10,192124,
https://github.com/langflow-ai/langflow/pull/6652,langflow-ai__langflow__pr6652,2026-05-05T08:22:53.789433+00:00,2026-05-05T08:26:46.273707+00:00,ok,raw\langflow-ai__langflow__pr6652.json,findings\langflow-ai__langflow__pr6652.json,11,231563,
https://github.com/vllm-project/vllm/pull/19231,vllm-project__vllm__pr19231,2026-05-05T08:26:46.285444+00:00,2026-05-05T08:29:28.069796+00:00,ok,raw\vllm-project__vllm__pr19231.json,findings\vllm-project__vllm__pr19231.json,1,160860,
